,neuron_1,neuron_2,value,neuron_combination,p,p_adj,session_name,block,n1_cluster,n2_cluster,comb,group
118,1100,1107,-0.6523823815038231,1100_1107,0.0,0.0,hamilton_02,base_shock,slow_regular,slow_regular,slow_regular-slow_regular,continuation
119,1105,1107,0.3128227490281084,1105_1107,0.0,0.0,hamilton_02,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
120,1093,1111,0.027071948397249652,1093_1111,1.056,1.1088,hamilton_02,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
121,1094,1111,0.2114116530526037,1094_1111,0.0,0.0,hamilton_02,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
122,1098,1111,-0.05648481985495768,1098_1111,0.35,0.38684210526315793,hamilton_02,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
123,1100,1111,-0.13939839447577845,1100_1111,0.002,0.003230769230769231,hamilton_02,base_shock,slow_regular,slow_regular,slow_regular-slow_regular,continuation
124,1105,1111,0.13301751016080562,1105_1111,0.002,0.003230769230769231,hamilton_02,base_shock,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
125,1107,1111,0.16625519313903536,1107_1111,0.022,0.033,hamilton_02,base_shock,slow_regular,slow_regular,slow_regular-slow_regular,continuation
126,1143,1144,0.05619862850802233,1143_1144,0.35,0.4935897435897436,hamilton_13,base_shock,slow_regular,fast_firing,slow_regular-fast_firing,sal
127,1143,1145,0.1936983966805566,1143_1145,0.0,0.0,hamilton_13,base_shock,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
128,1144,1145,0.38180462324860537,1144_1145,0.0,0.0,hamilton_13,base_shock,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
129,1143,1146,0.047649294020726214,1143_1146,0.48,0.6139534883720931,hamilton_13,base_shock,slow_regular,fast_firing,slow_regular-fast_firing,sal
130,1144,1146,-0.08180503723480011,1144_1146,0.102,0.16028571428571428,hamilton_13,base_shock,fast_firing,fast_firing,fast_firing-fast_firing,sal
