,neuron_1,neuron_2,value,neuron_combination,p,p_adj,session_name,block,n1_cluster,n2_cluster,comb,group
86,1079,1087,-0.0445542028907459,1079_1087,0.54,0.642909090909091,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
87,1082,1087,-0.16151214399047778,1082_1087,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
88,1084,1087,-0.13439826166326446,1084_1087,0.004,0.007137254901960785,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
89,1085,1087,-0.06182502854041756,1085_1087,0.284,0.38573134328358205,hamilton_01,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
90,1086,1087,0.43013677940637635,1086_1087,0.0,0.0,hamilton_01,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
91,1093,1094,0.5775425034776656,1093_1094,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
92,1093,1098,0.10653859138379017,1093_1098,0.022,0.033,hamilton_02,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
93,1094,1098,0.12488083782073905,1094_1098,0.01,0.016153846153846154,hamilton_02,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
94,1093,1100,-0.03703852784757807,1093_1100,0.694,0.694,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
95,1094,1100,-0.06826482061528442,1094_1100,0.232,0.2436,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
96,1098,1100,0.33526116590553456,1098_1100,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
97,1093,1105,-0.0698109303041743,1093_1105,0.168,0.1856842105263158,hamilton_02,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
98,1094,1105,-0.10267485081885712,1094_1105,0.034,0.044625000000000005,hamilton_02,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
99,1098,1105,0.29019995023706574,1098_1105,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
100,1100,1105,0.17218480049006005,1100_1105,0.0,0.0,hamilton_02,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,continuation
101,1093,1107,0.5865483466821433,1093_1107,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
102,1094,1107,0.6551227629552099,1094_1107,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
103,1098,1107,0.08065320360099101,1098_1107,0.12,0.14823529411764705,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
104,1100,1107,-0.15819985109617096,1100_1107,0.006,0.0105,hamilton_02,baseline,slow_regular,slow_regular,slow_regular-slow_regular,continuation
105,1105,1107,-0.11303100398535279,1105_1107,0.028,0.0392,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
106,1093,1111,0.07624352110110011,1093_1111,0.13,0.15166666666666667,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
107,1094,1111,0.16177550550182646,1094_1111,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
108,1098,1111,-0.33106564747388595,1098_1111,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
109,1100,1111,-0.3834640487178746,1100_1111,0.0,0.0,hamilton_02,baseline,slow_regular,slow_regular,slow_regular-slow_regular,continuation
110,1105,1111,-0.22834777648986496,1105_1111,0.0,0.0,hamilton_02,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
111,1107,1111,0.14431916464960584,1107_1111,0.004,0.0076363636363636364,hamilton_02,baseline,slow_regular,slow_regular,slow_regular-slow_regular,continuation
112,1143,1144,0.2313830735045848,1143_1144,0.0,0.0,hamilton_13,baseline,slow_regular,fast_firing,slow_regular-fast_firing,sal
113,1143,1145,0.19802281195072455,1143_1145,0.0,0.0,hamilton_13,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
114,1144,1145,0.3516196701733044,1144_1145,0.0,0.0,hamilton_13,baseline,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
115,1143,1146,0.15058895843330716,1143_1146,0.0,0.0,hamilton_13,baseline,slow_regular,fast_firing,slow_regular-fast_firing,sal
116,1144,1146,0.09870728614210822,1144_1146,0.04,0.05,hamilton_13,baseline,fast_firing,fast_firing,fast_firing-fast_firing,sal
117,1145,1146,-0.17952760504378507,1145_1146,0.0,0.0,hamilton_13,baseline,slow_irregular,fast_firing,slow_irregular-fast_firing,sal
118,1143,1148,-0.19141065734643972,1143_1148,0.0,0.0,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
119,1144,1148,-0.80822719499455,1144_1148,0.0,0.0,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
120,1145,1148,-0.26232694805316403,1145_1148,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
121,1146,1148,-0.21762656458592228,1146_1148,0.0,0.0,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
122,1143,1149,0.14901280533556976,1143_1149,0.0,0.0,hamilton_13,baseline,slow_regular,fast_firing,slow_regular-fast_firing,sal
123,1144,1149,0.250696284946246,1144_1149,0.0,0.0,hamilton_13,baseline,fast_firing,fast_firing,fast_firing-fast_firing,sal
124,1145,1149,0.18129393211551506,1145_1149,0.0,0.0,hamilton_13,baseline,slow_irregular,fast_firing,slow_irregular-fast_firing,sal
125,1146,1149,0.05459303257563646,1146_1149,0.38,0.4354166666666666,hamilton_13,baseline,fast_firing,fast_firing,fast_firing-fast_firing,sal
126,1148,1149,-0.21233839566019078,1148_1149,0.0,0.0,hamilton_13,baseline,slow_regular,fast_firing,slow_regular-fast_firing,sal
127,1143,1150,0.04660816068234003,1143_1150,0.494,0.5434,hamilton_13,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
128,1144,1150,0.1548657443759516,1144_1150,0.0,0.0,hamilton_13,baseline,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
129,1145,1150,0.2503655094787238,1145_1150,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
130,1146,1150,-0.1466311104602392,1146_1150,0.0,0.0,hamilton_13,baseline,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
131,1148,1150,-0.00406102303468285,1148_1150,1.86,1.86,hamilton_13,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
132,1149,1150,0.11997916625907376,1149_1150,0.006,0.008461538461538463,hamilton_13,baseline,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
133,1143,1151,-0.03553123673204327,1143_1151,0.788,0.8334615384615385,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
134,1144,1151,0.04608883629338534,1144_1151,0.466,0.5230612244897959,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
135,1145,1151,0.3515898953941739,1145_1151,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
